Frame,X,Y,Z,Roll,Pitch,Yaw
292,29.6494,0.0000,0.0000,0.0000,-16.7998,0.0000
293,28.2555,0.0000,0.0000,0.0000,-16.0757,0.0000
294,26.8809,0.0000,0.0000,0.0000,-15.3306,0.0000
295,25.4948,0.0000,0.0000,0.0000,-14.5739,0.0000
296,24.0645,0.0000,0.0000,0.0000,-13.8456,0.0000
297,22.6724,0.0000,0.0000,0.0000,-13.0894,0.0000
298,21.2525,0.0000,0.0000,0.0000,-12.4135,0.0000
299,19.8571,0.0000,0.0000,0.0000,-11.6740,0.0000
300,18.4499,0.0000,0.0000,0.0000,-10.9125,0.0000
301,17.0726,0.0000,0.0000,0.0000,-10.1999,0.0000
302,15.7056,0.0000,0.0000,0.0000,-9.4483,0.0000
303,14.2881,0.0000,0.0000,0.0000,-8.6918,0.0000
304,12.8854,0.0000,0.0000,0.0000,-7.9508,0.0000
305,11.4600,0.0000,0.0000,0.0000,-7.1958,0.0000
306,10.0347,0.0000,0.0000,0.0000,-6.4699,0.0000
307,8.6431,0.0000,0.0000,0.0000,-5.7180,0.0000
308,7.1913,0.0000,0.0000,0.0000,-4.9835,0.0000
309,5.8191,0.0000,0.0000,0.0000,-4.2563,0.0000
310,4.4168,0.0000,0.0000,0.0000,-3.5115,0.0000
311,2.9916,0.0000,0.0000,0.0000,-2.7874,0.0000
312,1.7950,0.0000,0.0000,0.0000,-2.1845,0.0000
313,0.8705,0.0000,0.0000,0.0000,-1.6668,0.0000
314,-0.0248,0.0000,0.0000,0.0000,-1.1619,0.0000
315,-0.9220,0.0000,0.0000,0.0000,-0.8362,0.0000
316,-1.2421,0.0000,0.0000,0.0000,-0.7005,0.0000
317,-1.4831,0.0000,0.0000,0.0000,-0.5157,0.0000
318,-1.8188,0.0000,0.0000,0.0000,-0.4018,0.0000
319,-1.8188,0.0000,0.0000,0.0000,-0.3803,0.0000
320,-1.8188,0.0000,0.0000,0.0000,-0.3568,0.0000
321,-1.8188,0.0000,0.0000,0.0000,-0.3508,0.0000
322,-1.8188,0.0000,0.0000,0.0000,-0.3519,0.0000
323,-1.8188,0.0000,0.0000,0.0000,-0.3519,0.0000
324,-1.8188,0.0000,0.0000,0.0000,-0.3480,0.0000
325,-1.8188,0.0000,0.0000,0.0000,-0.3509,0.0000
326,-1.8188,0.0000,0.0000,0.0000,-0.3526,0.0000
327,-1.8188,0.0000,0.0000,0.0000,-0.3489,0.0000
328,-2.0483,0.0000,0.0000,0.0000,-0.3178,0.0000
329,-2.5000,0.0000,0.0000,0.0000,-0.1938,0.0000
330,-3.0544,0.0000,0.0000,0.0000,0.1046,0.0000
