dataset,family,filter,rmse_3d_mm,rmse_x_mm,rmse_y_mm,rmse_z_mm,endpoint_error_mm
vertical_line_2,kalman_1d,kalman Q=1e-02 R=1e-02,474.49955209519607,110.92757055256945,132.92985161651401,441.78564211510763,737.8277278159799
vertical_line_2,savgol,savgol window=81 poly=2,474.50793009432726,112.99295618825245,133.0918958992453,441.22206973381003,737.7850489126238
vertical_line_2,butterworth,butterworth cutoff=5Hz order=4,474.5443105236463,113.22528646437463,133.2756943857916,441.14615088585794,737.8876889675646
vertical_line_2,savgol,savgol window=21 poly=2,474.68135687097197,111.9844338852883,133.19774260894792,441.633602086774,738.0660380857374
vertical_line_2,butterworth,butterworth cutoff=5Hz order=2,474.6953044390266,113.40273079275657,133.41430488210707,441.2211191205946,738.1611169070603
vertical_line_2,savgol,savgol window=41 poly=3,474.8490300989093,111.77845331151799,132.97122423488065,441.9341945206737,738.3384013777188
vertical_line_2,savgol,savgol window=11 poly=2,474.93871153247136,111.47849189153887,133.1066747351431,442.0655366556694,738.4861091430172
vertical_line_2,butterworth,butterworth cutoff=2Hz order=4,474.9528427141767,117.29329152517474,133.12624685523568,440.5676894232107,738.7718369742663
vertical_line_2,kalman_1d,kalman Q=1e-02 R=1e-03,474.96530876372856,111.08359224646509,133.35773833553472,442.11785045242874,738.54267512405
vertical_line_2,butterworth,butterworth cutoff=10Hz order=2,474.98462827376403,112.36911397223292,133.89875636958325,441.6499772038261,738.6310931529438
vertical_line_2,butterworth,butterworth cutoff=10Hz order=4,475.0296228106674,112.36170782748471,133.99708347096828,441.67043231691457,738.7117845711568
vertical_line_2,kalman_1d,kalman Q=1e-02 R=1e-04,475.04895203425986,111.11121991212491,133.43601863469624,442.177150664085,738.6738224699546
vertical_line_2,raw,raw,475.05916483651225,111.11459271807121,133.4455780264839,442.1843903683612,738.6898514177358
vertical_line_2,savgol,savgol window=7 poly=3,475.12831378405406,110.92821704638791,133.3591667286022,442.33152484493,738.7983974713311
vertical_line_2,savgol,savgol window=21 poly=3,475.145599790979,111.07196898794545,133.6431709112245,442.2282912418238,738.8441133297077
