rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imuTemp,output_Hz
01/01/2000,00:32:53.17,-10.25,-48.34,1022.46,1.97,1.27,0.52,15.15,1.80,46.80,31.14,9.965
01/01/2000,00:32:53.27,-16.11,-41.99,1030.27,-0.03,-1.95,0.68,15.45,0.0,46.65,31.53,9.966
01/01/2000,00:32:53.37,-27.83,-26.86,1026.86,1.34,-1.15,0.18,15.90,0.15,46.80,31.48,9.966
01/01/2000,00:32:53.47,-10.25,-27.34,1025.39,3.24,-1.06,1.44,14.85,0.15,47.55,31.38,9.966
01/01/2000,00:32:53.57,-12.70,-39.06,1047.36,-0.69,-0.26,-0.10,15.15,0.15,46.50,31.48,9.966
01/01/2000,00:32:53.67,-21.00,-29.79,1034.67,1.71,0.67,-0.54,15.75,0.0,46.65,31.38,9.966
01/01/2000,00:32:53.77,-21.48,-38.09,1023.93,2.03,2.17,0.88,16.20,0.30,46.20,31.14,9.961
01/01/2000,00:32:53.87,-17.09,-28.81,1033.69,3.46,0.94,-0.07,15.45,0.30,46.20,31.67,9.961
01/01/2000,00:32:53.97,-16.60,-29.30,1021.00,0.65,-0.32,0.45,14.85,1.80,48.30,31.48,9.961
01/01/2000,00:32:54.08,-24.90,-41.99,1011.23,0.40,0.61,0.67,15.0,1.50,46.20,31.19,9.962
01/01/2000,00:32:54.18,-21.48,-33.20,1022.46,1.40,-2.47,0.94,14.55,0.75,47.70,31.48,9.962
01/01/2000,00:32:54.28,-10.25,-34.18,1024.90,0.72,-1.68,-1.30,16.20,1.50,47.70,31.38,9.962
01/01/2000,00:32:54.38,-30.27,-27.34,1021.00,2.61,-0.32,-0.36,15.0,0.30,46.20,31.38,9.962
01/01/2000,00:32:54.48,-29.30,-36.13,1020.51,-2.24,1.32,0.30,15.15,0.90,45.75,31.34,9.963
01/01/2000,00:32:54.58,-25.88,-24.90,1024.90,-1.53,-3.82,2.04,14.55,0.30,46.65,31.38,9.963
01/01/2000,00:32:54.68,-22.95,-22.95,1024.41,0.01,-2.18,0.25,14.85,-0.15,46.05,31.24,9.963
01/01/2000,00:32:54.78,-26.37,-34.18,1027.83,-1.51,1.27,-0.40,16.20,0.30,47.40,31.53,9.963
