timestamp,rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,aX,aY,aZ,gX,gY,gZ,dataRdy,output_Hz,
1784211149.2225232,"01/01/2000,02:40:09.99,-858.89,-59.08,-527.34,-1.69,-0.08,0.08,71.25,51.45,-9.30,28.37,6.71,-18.06,-993.08,262.50,-848.75,-262.50,1,53.198,"
1784211149.2471535,"01/01/2000,02:40:10.01,-857.42,-62.01,-523.93,1.34,-1.11,2.82,72.45,51.45,-10.05,28.51,6.83,-18.06,-993.08,245.0,-875.0,-323.75,1,53.188,"
1784211149.2642043,"01/01/2000,02:40:10.02,-852.05,-54.69,-534.18,-1.33,1.42,-0.09,72.60,51.30,-10.20,28.37,6.83,-17.93,-992.96,236.25,-857.50,-332.50,1,53.179,"
1784211149.2748015,"01/01/2000,02:40:10.04,-852.54,-62.50,-524.90,-0.55,-2.44,0.67,71.70,51.45,-11.10,28.41,7.08,-17.93,-992.84,271.25,-778.75,-323.75,1,53.170,"
1784211149.3056934,"01/01/2000,02:40:10.06,-854.00,-49.80,-523.44,0.31,1.08,-1.17,72.0,50.55,-9.60,28.41,6.83,-17.93,-992.84,271.25,-883.75,-227.50,1,53.161,"
1784211149.3181028,"01/01/2000,02:40:10.08,-858.89,-63.96,-519.53,1.04,1.16,1.85,71.70,52.65,-10.05,28.60,6.83,-18.06,-993.08,253.75,-761.25,-402.50,1,53.152,"
1784211149.3366766,"01/01/2000,02:40:10.10,-866.21,-58.59,-522.46,1.27,-0.12,1.66,71.85,51.30,-9.75,28.32,6.83,-18.18,-993.20,262.50,-910.0,-332.50,1,53.219,"
1784211149.357596,"01/01/2000,02:40:10.12,-842.77,-62.50,-522.46,2.40,0.63,-0.15,72.75,51.90,-9.60,28.37,6.95,-18.06,-993.08,262.50,-857.50,-376.25,1,53.210,"
1784211149.378398,"01/01/2000,02:40:10.14,-854.00,-68.36,-522.46,1.68,0.06,1.96,69.15,49.65,-7.50,28.37,6.83,-18.30,-992.96,262.50,-770.0,-288.75,1,53.201,"
1784211149.399092,"01/01/2000,02:40:10.15,-854.98,-58.59,-526.37,-1.38,1.86,-0.33,71.70,52.20,-10.05,28.51,6.95,-18.30,-992.84,315.0,-787.50,-385.0,1,53.191,"
1784211149.4137704,"01/01/2000,02:40:10.17,-843.26,-62.50,-527.83,-0.83,-0.28,1.76,71.85,51.60,-8.70,28.37,6.95,-18.30,-993.08,315.0,-638.75,-288.75,1,53.182,"
1784211149.4327967,"01/01/2000,02:40:10.19,-851.07,-46.39,-529.30,1.01,-1.78,2.95,73.65,52.65,-10.80,28.37,7.08,-18.30,-993.08,358.75,-883.75,-306.25,1,53.173,"
1784211149.4521236,"01/01/2000,02:40:10.21,-850.59,-53.22,-523.93,-1.76,0.27,0.13,72.75,52.65,-10.05,28.51,6.83,-18.30,-993.08,262.50,-945.0,-358.75,1,53.165,"
1784211149.4648829,"01/01/2000,02:40:10.23,-852.05,-64.45,-536.62,-1.39,-1.98,-1.34,72.30,52.50,-10.95,28.37,6.83,-18.30,-993.08,245.0,-805.0,-280.0,1,53.230,"
1784211149.495072,"01/01/2000,02:40:10.25,-861.33,-51.76,-522.46,1.73,0.34,-0.70,72.60,51.60,-11.25,28.32,6.95,-18.30,-993.08,288.75,-848.75,-271.25,1,53.221,"
1784211149.5031447,"01/01/2000,02:40:10.27,-847.66,-50.78,-524.41,1.17,0.19,-1.52,72.75,51.90,-11.55,28.17,7.08,-18.06,-993.20,393.75,-778.75,-367.50,1,53.212,"
1784211149.5237105,"01/01/2000,02:40:10.28,-854.00,-47.85,-523.93,2.21,1.52,-0.26,68.40,49.95,-7.50,28.37,7.08,-18.06,-993.32,350.0,-743.75,-332.50,1,53.203,"
